route_id,route_code,stop_name,stop_id,stop_lat,stop_lon,heading_degrees,transfer_to_route_id,stop_type,parent_stop_id,route
10,2,State & Lake,1423,41.885902,-87.628041,180,29-South^;36-South^;62-South^;Brown*;Green*;Orange*;Pink*;Purple*;Red*,bus,1423,10
10,2,State & Monroe,1427,41.880988,-87.627823,179,Blue*;Red*,bus,1427,10
10,2,State & Van Buren,1430,41.877075,-87.627723,185,130-West^;147-North^+;36-South^;Brown*;Orange*;Pink*;Purple*,bus,1430,10
10,2,Wacker (Upper) & Michigan,1421,41.888371,-87.62503,271,120-North^+;120-South^+;121-North^+;121-South^+;134-South^+;135-South^+;136-South^+;6-South^+,bus,1421,10
100,3,100th Street & Bensley,5247,41.713486,-87.562948,90,,bus,5247,100
100,3,100th Street & Calhoun,5248,41.713501,-87.561743,88,,bus,5248,100
100,3,100th Street & Hoxie,5249,41.713518,-87.560561,90,J14-South^,bus,5249,100
100,3,106th Street & Avenue C,12246,41.702605,-87.5271,90,,bus,12246,100
100,3,106th Street & Avenue F,12244,41.702626,-87.530642,92,,bus,12244,100
100,3,106th Street & Avenue H,12242,41.702651,-87.533025,90,,bus,12242,100
100,3,106th Street & Avenue M,15239,41.702681,-87.537882,90,26-North^+,bus,15239,100
100,3,106th Street & Avenue O,12238,41.702688,-87.540294,90,,bus,12238,100
100,3,106th Street & Ewing,12241,41.702668,-87.535484,90,26-South^+;30-North^;30-South^,bus,12241,100
100,3,106th Street & Mackinaw,12236,41.702694,-87.542702,90,,bus,12236,100
100,3,106th Street & Muskegon,12233,41.702691,-87.555233,90,,bus,12233,100
100,3,106th Street & Torrence,12231,41.702695,-87.559083,90,71-North^;71-South^,bus,12231,100
100,3,1300 E 95th Street,11933,41.72217,-87.592156,87,,bus,11933,100
100,3,1500 E 95th Street,11935,41.722219,-87.588667,90,5-East^;95-East^,bus,11935,100
100,3,2300 E 95th Street,12098,41.7225,-87.567253,89,,bus,12098,100
100,3,2801 E 106th Street,12232,41.702691,-87.556656,90,,bus,12232,100
100,3,3033 E 106th Street,12234,41.702691,-87.549342,90,,bus,12234,100
100,3,930 E 95th Street,12090,41.722018,-87.600687,90,,bus,12090,100
100,3,95th & Stony Island Plaza,17431,41.722314,-87.581409,87,,bus,17431,100
100,3,95th Red Line Station,14007,41.721364,-87.623978,191,111-North^;111-South^;115-North^;115-South^;5-East^;9-North^;9-South^;95-East^;Red*,bus,14007,100
100,3,95th Street & Clyde,18208,41.722456,-87.571322,88,,bus,18208,100
100,3,95th Street & Constance,12093,41.722358,-87.579221,90,,bus,12093,100
100,3,95th Street & Cottage Grove ,2820,41.721944,-87.604664,90,115-North^;115-South^,bus,2820,100
100,3,95th Street & Dorchester,11934,41.722191,-87.590073,89,,bus,11934,100
100,3,95th Street & Greenwood,12091,41.722053,-87.597344,90,,bus,12091,100
100,3,95th Street & Jeffery,12095,41.722398,-87.574881,90,15-North^;15-South^;J14-North^;J14-South^,bus,12095,100
100,3,95th Street & King Drive,2819,41.721787,-87.614353,90,111-North^;111-South^;3-South^;X4-North^+;X4-South^+,bus,2819,100
111A,1,111th Street & Ellis,2983,41.692812,-87.604865,90,,bus,2983,111A
111A,1,111th Street & Vernon,2893,41.692715,-87.612303,103,,bus,2893,111A
111A,1,115th Street & King Drive,2842,41.685475,-87.612765,273,115-North^;4-North^,bus,2842,111A
111A,1,Cottage Grove & 115th Street,2841,41.685738,-87.611477,190,115-South^;4-South^,bus,2841,111A
111A,1,Doty & Walmart,17857,41.695092,-87.598698,94,,bus,17857,111A
111A,1,King Drive & 111th Street,14052,41.692588,-87.613273,0,111-North^;111-South^,bus,14052,111A
111A,1,King Drive & 112th Street,14051,41.690825,-87.613225,5,,bus,14051,111A
111A,1,King Drive & 113th Street,14050,41.68898,-87.613193,359,,bus,14050,111A
111A,1,King Drive & 114th Street,15107,41.687168,-87.61313,351,,bus,15107,111A
111A,1,Pullman Community Center,18433,41.704069,-87.594144,358,,bus,18433,111A
111A,2,103rd Street & Stony Island Garage Terminal,14156,41.708365,-87.580936,184,106-East^;106-West^;15-North^;15-South^;26-North^+;26-South^+;28-North^;28-South^;992-North^;J14-North^;J14-South^,bus,14156,111A
111A,2,10700 S. Doty,17856,41.69758,-87.595917,208,,bus,17856,111A
111A,2,111th Street & Champlain,2901,41.692812,-87.607567,309,,bus,2901,111A
111A,2,111th Street & Doty/Corliss,2899,41.69293,-87.601082,266,,bus,2899,111A
111A,2,111th Street & Ellis,2900,41.692835,-87.60488,267,,bus,2900,111A
111A,2,Cottage Grove & 111th Street,17891,41.69227,-87.609998,187,,bus,17891,111A
111A,2,Cottage Grove & 112th Street,2838,41.690848,-87.610317,168,115-South^;4-South^,bus,2838,111A
111A,2,Cottage Grove & 113th Street,15156,41.688853,-87.610682,187,,bus,15156,111A
111A,2,Cottage Grove & 114th Street,2840,41.68732,-87.611143,184,,bus,2840,111A
111A,2,Cottage Grove & 115th Street,2841,41.685738,-87.611477,190,115-South^;4-South^,bus,2841,111A
111A,2,Doty & Walmart,17858,41.695218,-87.598285,245,,bus,17858,111A
111A,2,Pullman Community Center,18451,41.704201,-87.59431,180,,bus,18451,111A
112,3,10602 S Vincennes,12413,41.701258,-87.658048,13,,bus,12413,112
112,3,111th Street & Albany,12393,41.691612,-87.698578,89,,bus,12393,112
112,3,111th Street & Bell,12402,41.691842,-87.677693,120,,bus,12402,112
112,3,111th Street & California,12396,41.691715,-87.691062,107,,bus,12396,112
112,3,111th Street & Campbell,12400,41.691802,-87.683813,87,,bus,12400,112
112,3,111th Street & Central Park,18602,41.69138,-87.710272,90,,bus,18602,112
112,3,111th Street & Hale ,12405,41.691977,-87.670763,128,,bus,12405,112
112,3,111th Street & Hamlin,12386,41.691317,-87.715745,89,,bus,12386,112
112,3,111th Street & Harding Terminal,14178,41.691142,-87.71956,357,53A-North^;53A-South^,bus,14178,112
112,3,111th Street & Homan,12390,41.691483,-87.705955,90,,bus,12390,112
112,3,111th Street & Hoyne,12404,41.691897,-87.674228,85,,bus,12404,112
112,3,111th Street & Kedzie,18600,41.691544,-87.700501,88,52A-North^;52A-South^,bus,18600,112
112,3,111th Street & Lawndale,12387,41.691365,-87.713425,90,,bus,12387,112
112,3,111th Street & Sacramento,12394,41.691643,-87.696307,90,,bus,12394,112
112,3,111th Street & Spaulding,12391,41.691532,-87.70349,88,,bus,12391,112
112,3,111th Street & St. Louis,12389,41.691452,-87.70837,88,,bus,12389,112
112,3,111th Street & Washtenaw,12398,41.691738,-87.688662,87,,bus,12398,112
112,3,111th Street & Western,17309,41.691785,-87.680523,82,,bus,17309,112
112,3,2600 W 111th Street,12399,41.691778,-87.686357,82,,bus,12399,112
112,3,95th Red Line Station,14010,41.722512,-87.624019,202,108-North^;108-South^;29-North^;29-South^;Red*,bus,14010,112
112,3,95th Street & Eggleston ,3509,41.721487,-87.634138,89,,bus,3509,112
112,3,95th Street & Halsted,15026,41.721371,-87.642655,90,108-North^;8A-North^,bus,15026,112
112,3,95th Street & Morgan,3503,41.721298,-87.648212,89,,bus,3503,112
112,3,95th Street & Normal,3508,41.721457,-87.636075,89,,bus,3508,112
112,3,95th Street & Peoria,3504,41.721328,-87.645797,90,,bus,3504,112
112,3,95th Street & Princeton,3510,41.721526,-87.631273,88,,bus,3510,112
112,3,95th Street & Union,3506,41.721391,-87.640937,88,108-South^,bus,3506,112
112,3,95th Street & Wallace,3507,41.721426,-87.638517,90,,bus,3507,112
112,3,95th Street & Wentworth,3511,41.721556,-87.628851,86,9-North^;9-South^;95-East^;95-West^,bus,3511,112
112,3,Monterey & Hermosa,15826,41.690785,-87.666822,107,,bus,15826,112
10,2,State & Washington,1425,41.883445,-87.627966,180,4-North^;4-South^;66-East^;66-West^;Blue*;Brown*;Green*;Orange*;Pink*;Purple*,bus,1425,10
112,3,Monterey & Homewood,15504,41.691698,-87.67,112,,bus,15504,112
112,3,Vincennes & 100th Place,6415,41.711312,-87.654328,16,,bus,6415,112
112,3,Vincennes & 103rd Street,6413,41.706678,-87.65603,19,103-East^;103-West^,bus,6413,112
112,3,Vincennes & 104th Street,12415,41.704875,-87.656728,14,9-North^;9-South^,bus,12415,112
112,3,Vincennes & 105th Street,12414,41.70304,-87.657397,14,,bus,12414,112
112,3,Vincennes & 107th Street,12412,41.699352,-87.658732,15,,bus,12412,112
112,3,Vincennes & 108th Place,12411,41.696863,-87.660003,19,,bus,12411,112
112,3,Vincennes & 109th Street,12410,41.695743,-87.660782,26,,bus,12410,112
112,3,Vincennes & 110th Street,15738,41.693733,-87.662117,26,,bus,15738,112
112,3,Vincennes & 111th Street,2870,41.692032,-87.663357,61,111-North^;111-South^,bus,2870,112
112,3,Vincennes & 95th Street,6420,41.721207,-87.650673,14,95-East^;95-West^,bus,6420,112
112,3,Vincennes & 96th Street,6419,41.719125,-87.651437,18,,bus,6419,112
112,3,Vincennes & 97th Street ,6418,41.71736,-87.652008,17,,bus,6418,112
112,3,Vincennes & 98th Street,6417,41.71577,-87.652675,42,,bus,6417,112
112,3,Vincennes & 99th Street,6416,41.713967,-87.653343,18,,bus,6416,112
112,3,Vincennes & Monterey,2869,41.690395,-87.664438,24,111-North^;111-South^,bus,2869,112
112,3,Vincennes & Winston (10200 South),6414,41.708785,-87.655267,14,,bus,6414,112
112,4,10602 S Vincennes,12354,41.701267,-87.658143,196,,bus,12354,112
112,4,111th Street & Albany,12375,41.691675,-87.698213,269,,bus,12375,112
112,4,111th Street & Bell,12366,41.691937,-87.67728,267,,bus,12366,112
112,4,111th Street & California,12372,41.691762,-87.690855,269,,bus,12372,112
112,4,111th Street & Campbell,12368,41.69185,-87.683448,270,,bus,12368,112
112,4,111th Street & Central Park,18601,41.691471,-87.7109,268,,bus,18601,112
